Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
BROOKLYN/QUEENS,62BQ,,
BROOKLYN/QUEENS,76AZ,,
BROOKLYN/QUEENS,58BR,,
BROOKLYN/QUEENS,59BR,,
BROOKLYN/QUEENS,60BR,,
BROOKLYN/QUEENS,61BR,,
BROOKLYN/QUEENS,60BH,230,2018/6/20
BROOKLYN/QUEENS,61BH,610,2018/6/20
BROOKLYN/QUEENS,62BH,420,2018/6/20
BROOKLYN/QUEENS,63BH,145,2018/6/20
BROOKLYN/QUEENS,64BH,,
BROOKLYN/QUEENS,65BH,,
BROOKLYN/QUEENS,66BH,,
BROOKLYN/QUEENS,67BH,,
BROOKLYN/QUEENS,62AU,1300,2018/6/20
BROOKLYN/QUEENS,63AU,1115,2018/6/20
BROOKLYN/QUEENS,64AU,530,2018/6/20
BROOKLYN/QUEENS,65AU,250,2018/6/20
BROOKLYN/QUEENS,66AU,355,2018/6/20
BROOKLYN/QUEENS,67AU,55,2018/6/20
BROOKLYN/QUEENS,68AU,,
BROOKLYN/QUEENS,69AU,,
BROOKLYN/QUEENS,75BC,,
BROOKLYN/QUEENS,63AT,,
BROOKLYN/QUEENS,64AT,20,2018/6/20
BROOKLYN/QUEENS,65AT,95,2018/6/20
BROOKLYN/QUEENS,66AT,,
BROOKLYN/QUEENS,67AT,40,2018/6/20
BROOKLYN/QUEENS,71AT,,
BROOKLYN/QUEENS,72AT,,
BROOKLYN/QUEENS,73AT,,
BROOKLYN/QUEENS,74AT,,
BROOKLYN/QUEENS,75AT,,
BROOKLYN/QUEENS,76AT,,
BROOKLYN/QUEENS,62AW,795,2018/6/20
BROOKLYN/QUEENS,63AW,640,2018/6/20
BROOKLYN/QUEENS,64AW,930,2018/6/20
BROOKLYN/QUEENS,65AW,665,2018/6/20
BROOKLYN/QUEENS,66AW,180,2018/6/20
BROOKLYN/QUEENS,67AW,195,2018/6/20
BROOKLYN/QUEENS,68AW,280,2018/6/20
BROOKLYN/QUEENS,69AW,30,2018/6/20
BROOKLYN/QUEENS,73AW,,
BROOKLYN/QUEENS,74AW,,
BROOKLYN/QUEENS,75AW,,
BROOKLYN/QUEENS,76AW,,
BROOKLYN/QUEENS,71AV,,
BROOKLYN/QUEENS,72AV,200,2018/6/20
BROOKLYN/QUEENS,73AV,,
BROOKLYN/QUEENS,64AY,375,2018/6/20
BROOKLYN/QUEENS,65AY,240,2018/6/20
BROOKLYN/QUEENS,66AY,40,2018/6/20
BROOKLYN/QUEENS,67AY,50,2018/6/20
BROOKLYN/QUEENS,68AY,75,2018/6/20
BROOKLYN/QUEENS,69AY,,
BROOKLYN/QUEENS,70AY,,
BROOKLYN/QUEENS,71AY,,
BROOKLYN/QUEENS,72AY,,
BROOKLYN/QUEENS,73AY,,
BROOKLYN/QUEENS,74AY,,
BROOKLYN/QUEENS,75AY,,
BROOKLYN/QUEENS,60BG,65,2018/6/20
BROOKLYN/QUEENS,61BG,280,2018/6/20
BROOKLYN/QUEENS,62AX,150,2018/6/20
BROOKLYN/QUEENS,63AX,520,2018/6/20
BROOKLYN/QUEENS,64AX,490,2018/6/20
BROOKLYN/QUEENS,65AX,205,2018/6/20
BROOKLYN/QUEENS,66AX,150,2018/6/20
BROOKLYN/QUEENS,67AX,90,2018/6/20
BROOKLYN/QUEENS,68AX,130,2018/6/20
BROOKLYN/QUEENS,69AX,105,2018/6/20
BROOKLYN/QUEENS,70AX,,
BROOKLYN/QUEENS,71AX,25,2018/6/20
BROOKLYN/QUEENS,72AX,,
BROOKLYN/QUEENS,73AX,,
BROOKLYN/QUEENS,72BF,,
BROOKLYN/QUEENS,61BA,160,2018/6/20
BROOKLYN/QUEENS,62BA,250,2018/6/20
BROOKLYN/QUEENS,63BA,370,2018/6/20
BROOKLYN/QUEENS,64BA,100,2018/6/20
BROOKLYN/QUEENS,65BA,,
BROOKLYN/QUEENS,66BA,,
BROOKLYN/QUEENS,61BC,70,2018/6/20
BROOKLYN/QUEENS,62BC,125,2018/6/20
BROOKLYN/QUEENS,63BC,185,2018/6/20
BROOKLYN/QUEENS,64BC,55,2018/6/20
BROOKLYN/QUEENS,65BC,55,2018/6/20
BROOKLYN/QUEENS,66BC,190,2018/6/20
BROOKLYN/QUEENS,67BC,105,2018/6/20
BROOKLYN/QUEENS,68BC,55,2018/6/20
BROOKLYN/QUEENS,69BC,65,2018/6/20
BROOKLYN/QUEENS,70BC,105,2018/6/20
BROOKLYN/QUEENS,71BC,35,2018/6/20
BROOKLYN/QUEENS,72BC,,
BROOKLYN/QUEENS,73BC,80,2018/6/20
BROOKLYN/QUEENS,74BC,120,2018/6/20
BROOKLYN/QUEENS,68BH,,
BROOKLYN/QUEENS,69BH,130,2018/6/20
BROOKLYN/QUEENS,70BH,100,2018/6/20
BROOKLYN/QUEENS,68AT,,
BROOKLYN/QUEENS,69AT,,
BROOKLYN/QUEENS,61BB,120,2018/6/20
BROOKLYN/QUEENS,62BB,70,2018/6/20
BROOKLYN/QUEENS,63BB,305,2018/6/20
BROOKLYN/QUEENS,64BB,40,2018/6/20
BROOKLYN/QUEENS,65BB,,
BROOKLYN/QUEENS,66BB,,
BROOKLYN/QUEENS,67BB,,
BROOKLYN/QUEENS,68BB,,
BROOKLYN/QUEENS,69BB,150,2018/6/20
BROOKLYN/QUEENS,70BB,120,2018/6/20
BROOKLYN/QUEENS,71BB,40,2018/6/20
BROOKLYN/QUEENS,72BB,,
BROOKLYN/QUEENS,73BB,,
BROOKLYN/QUEENS,74BB,,
BROOKLYN/QUEENS,62BI,,
BROOKLYN/QUEENS,63BI,,
BROOKLYN/QUEENS,64BI,,
BROOKLYN/QUEENS,70AW,475,2018/6/20
BROOKLYN/QUEENS,71AW,,
BROOKLYN/QUEENS,72AW,,
BROOKLYN/QUEENS,61BE,375,2018/6/20
BROOKLYN/QUEENS,62BE,55,2018/6/20
BROOKLYN/QUEENS,63BE,65,2018/6/20
BROOKLYN/QUEENS,64BE,,
BROOKLYN/QUEENS,65BE,,
BROOKLYN/QUEENS,66BE,,
BROOKLYN/QUEENS,67BE,,
BROOKLYN/QUEENS,68BE,,
BROOKLYN/QUEENS,59BP,255,2018/6/20
BROOKLYN/QUEENS,60BP,140,2018/6/20
BROOKLYN/QUEENS,61BP,,
BROOKLYN/QUEENS,62BP,,
BROOKLYN/QUEENS,63BP,,
BROOKLYN/QUEENS,64BP,,
BROOKLYN/QUEENS,62AV,1685,2018/6/20
BROOKLYN/QUEENS,63AV,1960,2018/6/20
BROOKLYN/QUEENS,64AV,1330,2018/6/20
BROOKLYN/QUEENS,65AV,585,2018/6/20
BROOKLYN/QUEENS,66AV,215,2018/6/20
BROOKLYN/QUEENS,67AV,260,2018/6/20
BROOKLYN/QUEENS,68AV,,
BROOKLYN/QUEENS,69AV,,
BROOKLYN/QUEENS,61BD,190,2018/6/20
BROOKLYN/QUEENS,62BD,135,2018/6/20
BROOKLYN/QUEENS,73BD,50,2018/6/20
BROOKLYN/QUEENS,74BD,160,2018/6/20
BROOKLYN/QUEENS,62BG,185,2018/6/20
BROOKLYN/QUEENS,63BG,10,2018/6/20
BROOKLYN/QUEENS,64BG,135,2018/6/20
BROOKLYN/QUEENS,65BG,15,2018/6/20
BROOKLYN/QUEENS,66BG,,
BROOKLYN/QUEENS,67BG,,
BROOKLYN/QUEENS,68BG,135,2018/6/20
BROOKLYN/QUEENS,69BG,315,2018/6/20
BROOKLYN/QUEENS,70BG,290,2018/6/20
BROOKLYN/QUEENS,71BG,100,2018/6/20
BROOKLYN/QUEENS,72BG,,
BROOKLYN/QUEENS,61BN,,
BROOKLYN/QUEENS,62BN,,
BROOKLYN/QUEENS,63BN,,
BROOKLYN/QUEENS,64BN,,
BROOKLYN/QUEENS,65BN,,
BROOKLYN/QUEENS,66BN,,
BROOKLYN/QUEENS,60BJ,,
BROOKLYN/QUEENS,61BJ,,
BROOKLYN/QUEENS,62BJ,,
BROOKLYN/QUEENS,63BJ,,
BROOKLYN/QUEENS,64BJ,,
BROOKLYN/QUEENS,60BF,70,2018/6/20
BROOKLYN/QUEENS,61BF,155,2018/6/20
BROOKLYN/QUEENS,62BF,,
BROOKLYN/QUEENS,63BF,,
BROOKLYN/QUEENS,64BF,80,2018/6/20
BROOKLYN/QUEENS,65BF,140,2018/6/20
BROOKLYN/QUEENS,66BF,,
BROOKLYN/QUEENS,67BF,50,2018/6/20
BROOKLYN/QUEENS,68BF,895,2018/6/20
BROOKLYN/QUEENS,69BF,160,2018/6/20
BROOKLYN/QUEENS,70BF,45,2018/6/20
BROOKLYN/QUEENS,71BF,15,2018/6/20
BROOKLYN/QUEENS,67BA,,
BROOKLYN/QUEENS,68BA,,
BROOKLYN/QUEENS,69BA,,
BROOKLYN/QUEENS,70BA,,
BROOKLYN/QUEENS,71BA,35,2018/6/20
BROOKLYN/QUEENS,72BA,,
BROOKLYN/QUEENS,73BA,,
BROOKLYN/QUEENS,74BA,,
BROOKLYN/QUEENS,75BA,,
BROOKLYN/QUEENS,75BB,,
BROOKLYN/QUEENS,60BI,155,2018/6/20
BROOKLYN/QUEENS,61BI,215,2018/6/20
BROOKLYN/QUEENS,65BI,,
BROOKLYN/QUEENS,66BI,,
BROOKLYN/QUEENS,67BI,,
BROOKLYN/QUEENS,68BI,,
BROOKLYN/QUEENS,71BE,,
BROOKLYN/QUEENS,72BE,,
BROOKLYN/QUEENS,59BL,,
BROOKLYN/QUEENS,60BL,,
BROOKLYN/QUEENS,61BL,,
BROOKLYN/QUEENS,62BL,,
BROOKLYN/QUEENS,63BL,,
BROOKLYN/QUEENS,64BL,,
BROOKLYN/QUEENS,65BL,,
