ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip
1286,BROOKLYN/QUEENS,48N,950,2018-06-20 00:00:00,48,N,73.99051351,40.70220024,11201
1287,BROOKLYN/QUEENS,48O,1020,2018-06-20 00:00:00,48,O,73.98557139,40.70276579,11201
1147,BROOKLYN/QUEENS,45P,1160,2018-06-20 00:00:00,45,P,73.97902788,40.69523766,11201
1095,BROOKLYN/QUEENS,44M,1250,2018-06-20 00:00:00,44,M,73.99332044,40.69084309,11201
1321,BROOKLYN/QUEENS,49N,1325,2018-06-20 00:00:00,49,N,73.9910473,40.70489814,11201
1245,BROOKLYN/QUEENS,47M,1340,2018-06-20 00:00:00,47,M,73.99492183,40.69893678,11201
1044,BROOKLYN/QUEENS,43O,1565,2018-06-20 00:00:00,43,O,73.98290241,40.68927631,11201
1098,BROOKLYN/QUEENS,44P,1650,2018-06-20 00:00:00,44,P,73.97849409,40.69253976,11201
1197,BROOKLYN/QUEENS,46M,1970,2018-06-20 00:00:00,46,M,73.99438803,40.69623889,11201
1144,BROOKLYN/QUEENS,45M,2770,2018-06-20 00:00:00,45,M,73.99385424,40.69354099,11201
1198,BROOKLYN/QUEENS,46N,2915,2018-06-20 00:00:00,46,N,73.98944592,40.69680444,11201
1199,BROOKLYN/QUEENS,46O,3235,2018-06-20 00:00:00,46,O,73.9845038,40.69737,11201
1097,BROOKLYN/QUEENS,44O,3955,2018-06-20 00:00:00,44,O,73.98343621,40.69197421,11201
1096,BROOKLYN/QUEENS,44N,4950,2018-06-20 00:00:00,44,N,73.98837832,40.69140865,11201
1145,BROOKLYN/QUEENS,45N,5140,2018-06-20 00:00:00,45,N,73.98891212,40.69410655,11201
1146,BROOKLYN/QUEENS,45O,6785,2018-06-20 00:00:00,45,O,73.98397,40.6946721,11201
344,BROOKLYN/QUEENS,23W,50,2018-06-20 00:00:00,23,W,73.93268954,40.63984281,11203
345,BROOKLYN/QUEENS,23X,150,2018-06-20 00:00:00,23,X,73.92774742,40.64040837,11203
371,BROOKLYN/QUEENS,24W,160,2018-06-20 00:00:00,24,W,73.93322333,40.64254071,11203
419,BROOKLYN/QUEENS,26U,165,2018-06-20 00:00:00,26,U,73.94417516,40.64680539,11203
480,BROOKLYN/QUEENS,28V,165,2018-06-20 00:00:00,28,V,73.94030064,40.65276674,11203
517,BROOKLYN/QUEENS,29Y,195,2018-06-20 00:00:00,29,Y,73.92600808,40.65716131,11203
581,BROOKLYN/QUEENS,31U,225,2018-06-20 00:00:00,31,U,73.94684414,40.66029488,11203
396,BROOKLYN/QUEENS,25W,240,2018-06-20 00:00:00,25,W,73.93375713,40.64523861,11203
395,BROOKLYN/QUEENS,25V,265,2018-06-20 00:00:00,25,V,73.93869925,40.64467305,11203
481,BROOKLYN/QUEENS,28W,265,2018-06-20 00:00:00,28,W,73.93535852,40.6533323,11203
448,BROOKLYN/QUEENS,27U,270,2018-06-20 00:00:00,27,U,73.94470896,40.64950329,11203
394,BROOKLYN/QUEENS,25U,275,2018-06-20 00:00:00,25,U,73.94364137,40.64410749,11203
370,BROOKLYN/QUEENS,24V,305,2018-06-20 00:00:00,24,V,73.93816545,40.64197515,11203
483,BROOKLYN/QUEENS,28Y,350,2018-06-20 00:00:00,28,Y,73.92547428,40.65446341,11203
516,BROOKLYN/QUEENS,29X,375,2018-06-20 00:00:00,29,X,73.93095019,40.65659575,11203
479,BROOKLYN/QUEENS,28U,390,2018-06-20 00:00:00,28,U,73.94524276,40.65220119,11203
549,BROOKLYN/QUEENS,30W,400,2018-06-20 00:00:00,30,W,73.93642611,40.65872809,11203
514,BROOKLYN/QUEENS,29V,460,2018-06-20 00:00:00,29,V,73.94083443,40.65546464,11203
550,BROOKLYN/QUEENS,30X,470,2018-06-20 00:00:00,30,X,73.93148399,40.65929365,11203
369,BROOKLYN/QUEENS,24U,485,2018-06-20 00:00:00,24,U,73.94310757,40.6414096,11203
583,BROOKLYN/QUEENS,31W,525,2018-06-20 00:00:00,31,W,73.93695991,40.66142599,11203
515,BROOKLYN/QUEENS,29W,535,2018-06-20 00:00:00,29,W,73.93589231,40.6560302,11203
615,BROOKLYN/QUEENS,32V,615,2018-06-20 00:00:00,32,V,73.94243582,40.66355833,11203
513,BROOKLYN/QUEENS,29U,670,2018-06-20 00:00:00,29,U,73.94577655,40.65489908,11203
482,BROOKLYN/QUEENS,28X,685,2018-06-20 00:00:00,28,X,73.9304164,40.65389786,11203
548,BROOKLYN/QUEENS,30V,755,2018-06-20 00:00:00,30,V,73.94136823,40.65816254,11203
582,BROOKLYN/QUEENS,31V,770,2018-06-20 00:00:00,31,V,73.94190202,40.66086043,11203
584,BROOKLYN/QUEENS,31X,950,2018-06-20 00:00:00,31,X,73.93201779,40.66199155,11203
547,BROOKLYN/QUEENS,30U,4640,2018-06-20 00:00:00,30,U,73.94631035,40.65759698,11203
259,BROOKLYN/QUEENS,20M,70,2018-06-20 00:00:00,20,M,73.98050934,40.62609356,11204
258,BROOKLYN/QUEENS,20L,140,2018-06-20 00:00:00,20,L,73.98545146,40.625528,11204
214,BROOKLYN/QUEENS,18L,160,2018-06-20 00:00:00,18,L,73.98438386,40.6201322,11204
143,BROOKLYN/QUEENS,14K,175,2018-06-20 00:00:00,14,K,73.9871908,40.60877506,11204
161,BROOKLYN/QUEENS,15M,190,2018-06-20 00:00:00,15,M,73.97784036,40.61260407,11204
192,BROOKLYN/QUEENS,17J,210,2018-06-20 00:00:00,17,J,73.99373431,40.61630319,11204
238,BROOKLYN/QUEENS,19M,215,2018-06-20 00:00:00,19,M,73.97997554,40.62339566,11204
237,BROOKLYN/QUEENS,19L,220,2018-06-20 00:00:00,19,L,73.98491766,40.6228301,11204
176,BROOKLYN/QUEENS,16J,240,2018-06-20 00:00:00,16,J,73.99320051,40.6136053,11204
191,BROOKLYN/QUEENS,17I,250,2018-06-20 00:00:00,17,I,73.99867642,40.61573764,11204
145,BROOKLYN/QUEENS,14M,265,2018-06-20 00:00:00,14,M,73.97730656,40.60990617,11204
193,BROOKLYN/QUEENS,17K,275,2018-06-20 00:00:00,17,K,73.98879219,40.61686875,11204
213,BROOKLYN/QUEENS,18K,280,2018-06-20 00:00:00,18,K,73.98932598,40.61956665,11204
235,BROOKLYN/QUEENS,19J,285,2018-06-20 00:00:00,19,J,73.9948019,40.62169899,11204
179,BROOKLYN/QUEENS,16M,290,2018-06-20 00:00:00,16,M,73.97837415,40.61530197,11204
177,BROOKLYN/QUEENS,16K,305,2018-06-20 00:00:00,16,K,73.98825839,40.61417085,11204
282,BROOKLYN/QUEENS,21M,305,2018-06-20 00:00:00,21,M,73.98104313,40.62879145,11204
159,BROOKLYN/QUEENS,15K,320,2018-06-20 00:00:00,15,K,73.98772459,40.61147296,11204
215,BROOKLYN/QUEENS,18M,330,2018-06-20 00:00:00,18,M,73.97944175,40.62069776,11204
281,BROOKLYN/QUEENS,21L,340,2018-06-20 00:00:00,21,L,73.98598525,40.6282259,11204
335,BROOKLYN/QUEENS,23M,355,2018-06-20 00:00:00,23,M,73.98211073,40.63418725,11204
236,BROOKLYN/QUEENS,19K,360,2018-06-20 00:00:00,19,K,73.98985978,40.62226454,11204
160,BROOKLYN/QUEENS,15L,370,2018-06-20 00:00:00,15,L,73.98278248,40.61203851,11204
257,BROOKLYN/QUEENS,20K,375,2018-06-20 00:00:00,20,K,73.99039358,40.62496244,11204
212,BROOKLYN/QUEENS,18J,395,2018-06-20 00:00:00,18,J,73.9942681,40.61900109,11204
195,BROOKLYN/QUEENS,17M,400,2018-06-20 00:00:00,17,M,73.97890795,40.61799986,11204
309,BROOKLYN/QUEENS,22M,405,2018-06-20 00:00:00,22,M,73.98157693,40.63148935,11204
144,BROOKLYN/QUEENS,14L,435,2018-06-20 00:00:00,14,L,73.98224868,40.60934061,11204
178,BROOKLYN/QUEENS,16L,485,2018-06-20 00:00:00,16,L,73.98331627,40.61473641,11204
194,BROOKLYN/QUEENS,17L,655,2018-06-20 00:00:00,17,L,73.98385007,40.61743431,11204
1148,BROOKLYN/QUEENS,45Q,100,2018-06-20 00:00:00,45,Q,73.97408576,40.69580322,11205
1202,BROOKLYN/QUEENS,46R,115,2018-06-20 00:00:00,46,R,73.96967744,40.69906667,11205
1203,BROOKLYN/QUEENS,46S,120,2018-06-20 00:00:00,46,S,73.96473532,40.69963223,11205
1003,BROOKLYN/QUEENS,42U,125,2018-06-20 00:00:00,42,U,73.9527159,40.68997175,11205
1099,BROOKLYN/QUEENS,44Q,270,2018-06-20 00:00:00,44,Q,73.97355197,40.69310532,11205
1047,BROOKLYN/QUEENS,43R,280,2018-06-20 00:00:00,43,R,73.96807605,40.69097298,11205
1201,BROOKLYN/QUEENS,46Q,300,2018-06-20 00:00:00,46,Q,73.97461956,40.69850111,11205
1149,BROOKLYN/QUEENS,45R,315,2018-06-20 00:00:00,45,R,73.96914364,40.69636877,11205
1150,BROOKLYN/QUEENS,45S,320,2018-06-20 00:00:00,45,S,73.96420153,40.69693433,11205
