,ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Lat,Long,Zip,ZCTA
179,198,MANHATTAN,25E,1770,2018-06-20 00:00:00,25,E,40.75647767,73.99438173,10018,10018
180,199,MANHATTAN,25F,4195,2018-06-20 00:00:00,25,F,40.75495145,73.99075209,10018,10018
181,191,MANHATTAN,24H,4665,2018-06-20 00:00:00,24,H,40.74986084,73.98497699,10018,10018
182,190,MANHATTAN,24G,5320,2018-06-20 00:00:00,24,G,40.75138705,73.98860662,10018,10018
183,200,MANHATTAN,25G,7165,2018-06-20 00:00:00,25,G,40.75342524,73.98712246,10018,10018
184,201,MANHATTAN,25H,7420,2018-06-20 00:00:00,25,H,40.75189903,73.98349283,10018,10018
185,189,MANHATTAN,24F,7654,2018-06-20 00:00:00,24,F,40.75291327,73.99223626,10018,10018
186,234,MANHATTAN,29C,415,2018-06-20 00:00:00,29,C,40.76768285,73.99570434,10019,10019
187,245,MANHATTAN,30C,780,2018-06-20 00:00:00,30,C,40.76972104,73.99422017,10019,10019
188,224,MANHATTAN,28C,1260,2018-06-20 00:00:00,28,C,40.76564466,73.9971885,10019,10019
189,226,MANHATTAN,28E,1315,2018-06-20 00:00:00,28,E,40.76259223,73.98992923,10019,10019
190,235,MANHATTAN,29D,1610,2018-06-20 00:00:00,29,D,40.76615664,73.9920747,10019,10019
191,247,MANHATTAN,30E,1890,2018-06-20 00:00:00,30,E,40.76666861,73.98696091,10019,10019
192,188,MANHATTAN,24E,1990,2018-06-20 00:00:00,24,E,40.75443948,73.99586589,10019,10019
193,236,MANHATTAN,29E,2050,2018-06-20 00:00:00,29,E,40.76463042,73.98844507,10019,10019
194,225,MANHATTAN,28D,2355,2018-06-20 00:00:00,28,D,40.76411845,73.99355887,10019,10019
195,257,MANHATTAN,31E,2540,2018-06-20 00:00:00,31,E,40.7687068,73.98547674,10019,10019
196,256,MANHATTAN,31D,4095,2018-06-20 00:00:00,31,D,40.77023301,73.98910638,10019,10019
197,237,MANHATTAN,29F,4164,2018-06-20 00:00:00,29,F,40.76310421,73.98481544,10019,10019
198,246,MANHATTAN,30D,4525,2018-06-20 00:00:00,30,D,40.76819483,73.99059054,10019,10019
199,260,MANHATTAN,31H,4755,2018-06-20 00:00:00,31,H,40.76412816,73.97458784,10019,10019
