Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
MANHATTAN,22G,4260,2018/6/20
MANHATTAN,23G,5420,2018/6/20
MANHATTAN,24G,5320,2018/6/20
MANHATTAN,25G,7165,2018/6/20
MANHATTAN,26G,9713,2018/6/20
MANHATTAN,27G,7405,2018/6/20
MANHATTAN,28G,10721,2018/6/20
MANHATTAN,10H,4500,2018/6/20
MANHATTAN,11H,1435,2018/6/20
MANHATTAN,12H,1750,2018/6/20
MANHATTAN,13H,750,2018/6/20
MANHATTAN,14H,2180,2018/6/20
MANHATTAN,15H,520,2018/6/20
MANHATTAN,16H,860,2018/6/20
MANHATTAN,17H,2405,2018/6/20
MANHATTAN,18H,3430,2018/6/20
MANHATTAN,19H,3545,2018/6/20
MANHATTAN,20H,5475,2018/6/20
MANHATTAN,21H,3920,2018/6/20
MANHATTAN,22H,2600,2018/6/20
MANHATTAN,23H,3910,2018/6/20
MANHATTAN,24H,4665,2018/6/20
MANHATTAN,25H,7420,2018/6/20
MANHATTAN,26H,5405,2018/6/20
MANHATTAN,27H,7445,2018/6/20
MANHATTAN,28H,7290,2018/6/20
MANHATTAN,29H,8600,2018/6/20
MANHATTAN,10F,200,2018/6/20
MANHATTAN,11F,80,2018/6/20
MANHATTAN,12F,1405,2018/6/20
MANHATTAN,13F,1955,2018/6/20
MANHATTAN,14F,840,2018/6/20
MANHATTAN,15F,685,2018/6/20
MANHATTAN,16F,565,2018/6/20
MANHATTAN,17F,1245,2018/6/20
MANHATTAN,18F,4410,2018/6/20
MANHATTAN,19F,2270,2018/6/20
MANHATTAN,20F,1290,2018/6/20
MANHATTAN,21F,1755,2018/6/20
MANHATTAN,22F,2330,2018/6/20
MANHATTAN,23F,4315,2018/6/20
MANHATTAN,24F,7654,2018/6/20
MANHATTAN,25F,4195,2018/6/20
MANHATTAN,26F,8940,2018/6/20
MANHATTAN,27F,4581,2018/6/20
MANHATTAN,28F,5905,2018/6/20
MANHATTAN,24L,485,2018/6/20
MANHATTAN,25L,,
MANHATTAN,26L,145,2018/6/20
MANHATTAN,27L,,
MANHATTAN,28L,1905,2018/6/20
MANHATTAN,29L,760,2018/6/20
MANHATTAN,13M,870,2018/6/20
MANHATTAN,9F,,
MANHATTAN,25J,5490,2018/6/20
MANHATTAN,26J,6515,2018/6/20
MANHATTAN,27J,7310,2018/6/20
MANHATTAN,28J,6720,2018/6/20
MANHATTAN,29J,5471,2018/6/20
MANHATTAN,12K,1010,2018/6/20
MANHATTAN,13K,1070,2018/6/20
MANHATTAN,32N,80,2018/6/20
MANHATTAN,33N,150,2018/6/20
MANHATTAN,34N,450,2018/6/20
MANHATTAN,29N,,
MANHATTAN,30N,,
MANHATTAN,31N,,
MANHATTAN,12L,1315,2018/6/20
MANHATTAN,13L,1245,2018/6/20
MANHATTAN,14L,620,2018/6/20
MANHATTAN,15L,1125,2018/6/20
MANHATTAN,16L,190,2018/6/20
MANHATTAN,17L,840,2018/6/20
MANHATTAN,18L,660,2018/6/20
MANHATTAN,19L,670,2018/6/20
MANHATTAN,20L,385,2018/6/20
MANHATTAN,21L,3115,2018/6/20
MANHATTAN,22L,1975,2018/6/20
MANHATTAN,23L,960,2018/6/20
MANHATTAN,30L,1265,2018/6/20
