Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
BRONX,31Z,,
BRONX,32Z,,
BRONX,26R,130,6/20/2018
BRONX,27R,120,6/20/2018
BRONX,28R,185,6/20/2018
BRONX,29R,165,6/20/2018
BRONX,30R,45,6/20/2018
BRONX,31R,240,6/20/2018
BRONX,32R,,
BRONX,33R,90,6/20/2018
BRONX,19AA,,
BRONX,20AA,180,6/20/2018
BRONX,21AA,,
BRONX,22AA,75,6/20/2018
BRONX,23AA,,
BRONX,24AA,,
BRONX,25AA,,
BRONX,26AA,,
BRONX,27AA,,
BRONX,28AA,,
BRONX,29AA,,
BRONX,30AA,,
BRONX,31AA,,
BRONX,32AA,,
BRONX,21S,90,6/20/2018
BRONX,22S,,
BRONX,23S,,
BRONX,24S,,
BRONX,15AB,,
BRONX,16AB,,
BRONX,17AB,,
BRONX,18AB,,
BRONX,19AB,,
BRONX,20AB,,
BRONX,21AB,,
BRONX,24AB,,
BRONX,21AI,,
BRONX,22AI,,
BRONX,23AI,,
BRONX,24AI,,
BRONX,27AI,,
BRONX,30AI,,
BRONX,18AJ,,
BRONX,19AJ,,
BRONX,20AJ,,
BRONX,21AJ,,
BRONX,22AJ,,
BRONX,23AJ,,
BRONX,25AB,,
BRONX,26AB,,
BRONX,27AB,,
BRONX,28AB,,
BRONX,29AB,,
BRONX,30AB,,
BRONX,31AB,,
BRONX,32AB,,
BRONX,15AC,,
BRONX,16AC,,
BRONX,17AC,,
BRONX,18AC,,
BRONX,19AC,,
BRONX,20AC,,
BRONX,21AC,,
BRONX,25AC,,
BRONX,26AC,,
BRONX,27AD,,
BRONX,28AD,,
BRONX,30AD,,
BRONX,27AE,,
BRONX,30AE,,
BRONX,31AE,,
BRONX,32AE,,
BRONX,26AF,,
BRONX,27AF,,
BRONX,31AF,,
BRONX,32AF,,
BRONX,25AG,,
BRONX,26AG,,
BRONX,28X,,
BRONX,29X,,
BRONX,17P,140,6/20/2018
BRONX,18P,,
BRONX,19P,,
BRONX,20P,,
BRONX,21P,15,6/20/2018
BRONX,22P,50,6/20/2018
BRONX,23P,,
BRONX,24P,,
BRONX,25P,30,6/20/2018
BRONX,26P,95,6/20/2018
BRONX,27P,45,6/20/2018
BRONX,31W,,
BRONX,32W,,
BRONX,33W,,
BRONX,26AD,,
BRONX,26AE,,
BRONX,26K,255,6/20/2018
BRONX,27K,525,6/20/2018
BRONX,28K,625,6/20/2018
BRONX,29K,310,6/20/2018
BRONX,30K,425,6/20/2018
BRONX,31K,265,6/20/2018
BRONX,32K,235,6/20/2018
BRONX,33K,650,6/20/2018
BRONX,25L,405,6/20/2018
BRONX,26L,225,6/20/2018
BRONX,27L,285,6/20/2018
BRONX,28L,,
BRONX,29L,295,6/20/2018
BRONX,30L,310,6/20/2018
BRONX,31L,225,6/20/2018
BRONX,32L,245,6/20/2018
BRONX,33L,260,6/20/2018
BRONX,26I,520,6/20/2018
BRONX,27I,310,6/20/2018
BRONX,28I,475,6/20/2018
BRONX,29I,400,6/20/2018
BRONX,30I,455,6/20/2018
BRONX,31I,335,6/20/2018
BRONX,32I,165,6/20/2018
BRONX,33I,430,6/20/2018
BRONX,33N,240,6/20/2018
BRONX,17I,115,6/20/2018
BRONX,18I,235,6/20/2018
BRONX,19I,560,6/20/2018
BRONX,20I,322,6/20/2018
BRONX,16L,455,6/20/2018
BRONX,17L,715,6/20/2018
BRONX,18L,215,6/20/2018
BRONX,19L,100,6/20/2018
BRONX,20L,,
BRONX,21L,915,6/20/2018
BRONX,22L,170,6/20/2018
BRONX,23L,260,6/20/2018
BRONX,24L,190,6/20/2018
BRONX,17J,,
BRONX,18J,,
BRONX,19J,,
BRONX,20J,30,6/20/2018
BRONX,21J,265,6/20/2018
BRONX,22J,175,6/20/2018
BRONX,23J,210,6/20/2018
BRONX,24J,,
BRONX,25J,270,6/20/2018
BRONX,26J,275,6/20/2018
BRONX,27J,555,6/20/2018
BRONX,28J,815,6/20/2018
BRONX,29J,140,6/20/2018
BRONX,30J,185,6/20/2018
BRONX,31J,210,6/20/2018
BRONX,32J,230,6/20/2018
BRONX,33J,15,6/20/2018
BRONX,17T,400,6/20/2018
BRONX,18T,645,6/20/2018
BRONX,19T,240,6/20/2018
BRONX,17K,230,6/20/2018
BRONX,18K,,
BRONX,19K,235,6/20/2018
