ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip
500,BRONX,32N,195,6/20/2018,32,N,40.87195639,73.88093889,10458
487,BRONX,31M,210,6/20/2018,31,M,40.86948323,73.8849597,10458
414,BRONX,25K,215,6/20/2018,25,K,40.85526726,73.89243151,10458
430,BRONX,26L,225,6/20/2018,26,L,40.85774042,73.8884107,10458
486,BRONX,31L,225,6/20/2018,31,L,40.86932748,73.88912296,10458
511,BRONX,33M,225,6/20/2018,33,M,40.87411805,73.88524461,10458
429,BRONX,26K,255,6/20/2018,26,K,40.85758467,73.89257397,10458
510,BRONX,33L,260,6/20/2018,33,L,40.8739623,73.88940787,10458
416,BRONX,25M,265,6/20/2018,25,M,40.85557875,73.88410498,10458
428,BRONX,26J,275,6/20/2018,26,J,40.85742892,73.89673723,10458
525,BRONX,34M,280,6/20/2018,34,M,40.87643546,73.88538706,10458
401,BRONX,24M,285,6/20/2018,24,M,40.85326134,73.88396253,10458
443,BRONX,27L,285,6/20/2018,27,L,40.86005783,73.88855315,10458
499,BRONX,32M,290,6/20/2018,32,M,40.87180064,73.88510215,10458
467,BRONX,29L,295,6/20/2018,29,L,40.86469265,73.88883806,10458
488,BRONX,31N,295,6/20/2018,31,N,40.86963898,73.88079643,10458
466,BRONX,29K,310,6/20/2018,29,K,40.86453691,73.89300132,10458
475,BRONX,30L,310,6/20/2018,30,L,40.86701007,73.88898051,10458
553,BRONX,36M,325,6/20/2018,36,M,40.88107029,73.88567196,10458
415,BRONX,25L,405,6/20/2018,25,L,40.85542301,73.88826825,10458
474,BRONX,30K,425,6/20/2018,30,K,40.86685432,73.89314378,10458
442,BRONX,27K,525,6/20/2018,27,K,40.85990208,73.89271642,10458
441,BRONX,27J,555,6/20/2018,27,J,40.85974633,73.89687968,10458
456,BRONX,28K,625,6/20/2018,28,K,40.86221949,73.89285887,10458
455,BRONX,28J,815,6/20/2018,28,J,40.86206375,73.89702214,10458
457,BRONX,28M,940,6/20/2018,28,M,40.86253099,73.88453234,10458
204,BRONX,14L,75,6/20/2018,14,L,40.82993147,73.88670126,10459
141,BRONX,11L,120,6/20/2018,11,L,40.82297923,73.8862739,10459
224,BRONX,15K,135,6/20/2018,15,K,40.83209313,73.89100698,10459
162,BRONX,12J,165,6/20/2018,12,J,40.82498515,73.89474289,10459
182,BRONX,13J,320,6/20/2018,13,J,40.82730256,73.89488534,10459
184,BRONX,13L,335,6/20/2018,13,L,40.82761406,73.88655881,10459
92,BRONX,9J,340,6/20/2018,9,J,40.81803291,73.89431553,10459
183,BRONX,13K,350,6/20/2018,13,K,40.82745831,73.89072208,10459
139,BRONX,11J,410,6/20/2018,11,J,40.82266774,73.89460043,10459
138,BRONX,11I,435,6/20/2018,11,I,40.82251199,73.8987637,10459
113,BRONX,10H,495,6/20/2018,10,H,40.82003883,73.90278451,10459
114,BRONX,10I,500,6/20/2018,10,I,40.82019458,73.89862125,10459
203,BRONX,14K,510,6/20/2018,14,K,40.82977572,73.89086453,10459
161,BRONX,12I,535,6/20/2018,12,I,40.8248294,73.89890615,10459
181,BRONX,13I,645,6/20/2018,13,I,40.82714681,73.89904861,10459
223,BRONX,15J,665,6/20/2018,15,J,40.83193739,73.89517025,10459
115,BRONX,10J,715,6/20/2018,10,J,40.82035032,73.89445798,10459
140,BRONX,11K,730,6/20/2018,11,K,40.82282349,73.89043717,10459
347,BRONX,21P,15,6/20/2018,21,P,40.84677635,73.87104537,10460
270,BRONX,17O,50,6/20/2018,17,O,40.83735095,73.87463883,10460
366,BRONX,22P,50,6/20/2018,22,P,40.84909376,73.87118783,10460
226,BRONX,15M,80,6/20/2018,15,M,40.83240463,73.88268045,10460
246,BRONX,16K,80,6/20/2018,16,K,40.83441055,73.89114943,10460
269,BRONX,17N,80,6/20/2018,17,N,40.8371952,73.87880209,10460
288,BRONX,18N,90,6/20/2018,18,N,40.83951262,73.87894454,10460
268,BRONX,17M,95,6/20/2018,17,M,40.83703946,73.88296536,10460
307,BRONX,19L,100,6/20/2018,19,L,40.84151853,73.88741353,10460
252,BRONX,16Q,140,6/20/2018,16,Q,40.83534504,73.86616984,10460
271,BRONX,17P,140,6/20/2018,17,P,40.8375067,73.87047556,10460
248,BRONX,16M,145,6/20/2018,16,M,40.83472204,73.8828229,10460
289,BRONX,18O,185,6/20/2018,18,O,40.83966836,73.87478128,10460
365,BRONX,22M,195,6/20/2018,22,M,40.84862652,73.88367762,10460
286,BRONX,18L,215,6/20/2018,18,L,40.83920112,73.88727108,10460
245,BRONX,16J,225,6/20/2018,16,J,40.8342548,73.8953127,10460
266,BRONX,17K,230,6/20/2018,17,K,40.83672796,73.89129189,10460
306,BRONX,19K,235,6/20/2018,19,K,40.84136278,73.89157679,10460
290,BRONX,18Q,240,6/20/2018,18,Q,40.83997986,73.86645475,10460
225,BRONX,15L,245,6/20/2018,15,L,40.83224888,73.88684372,10460
287,BRONX,18M,280,6/20/2018,18,M,40.83935687,73.88310781,10460
309,BRONX,19N,355,6/20/2018,19,N,40.84183003,73.879087,10460
384,BRONX,23M,355,6/20/2018,23,M,40.85094393,73.88382007,10460
345,BRONX,21M,360,6/20/2018,21,M,40.8463091,73.88353517,10460
